objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,test001.jpg,,,"Administration Building, University of Idaho, No. 30",Pacific Photo Co.,1910-10-14,"Photographic postcard of the University of Idaho administration building in Moscow, Idaho.",universities;buildings;campuses;picture postcards,"Moscow, Idaho",46.725562,-117.009633,"PG 9, Postcard Collection, University of Idaho Library Special Collections and Archives",pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,,B-UWBZiBSj8,,Loading sugar cane ,American Mutoscope & Biograph Company,1902,"""The short length of this films leaves much to be desired to give proper description. However, it is possible to see a large receiving car in a cane brake where several people are visible chopping cane and carrying it to the receiver. There is one person wearing white trousers, a blue coat, and a straw hat who comes from behind the camera position and starts up the incline. The film was photographed in Hawaii""--Early motion pictures. ",sugar cane; Hawaii,"Honolulu, Hawaii",,,Paper Print Collection (Library of Congress) ,,MovingImage,video/mp4,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll003,master-pnp-ppmsca-38800-38887u.tif,,,"[Representative Patsy Mink announces the formation of the Congressional Asian Pacific American Caucus at a press conference with (left to right) Representatives Don Edwards and Norman Mineta, Guam Delegate Robert Underwood, and Representatives Nancy Pelosi and Neil Abercrombie]","Patterson, Laura",1994-05-20,"[Representative Patsy Mink announces the formation of the Congressional Asian Pacific American Caucus at a press conference with (left to right) Representatives Don Edwards and Norman Mineta, Guam Delegate Robert Underwood, and Representatives Nancy Pelosi and Neil Abercrombie]",AAPI Caucus,"Washington, DC",38.88702716,-77.0074316,"Library of Congress Prints and Photographs Division Washington, D.C. 20540 USA",,Image;StillImage,image/tif,eng,No known restrictions,
coll004,public-music-mussuffrage-100119-mussuffrage-100119.pdf,,,Suffrage marching song,"Lancaster, Fanny Connable",1914,Suffrage marching song.,Suffrage; music,"Boston, Massachusetts",,,Library of Congress Online Catalog,,Image;StillImage,image/pdf,eng,Public domain,
coll005,,,,,,,,,,,,,,,,,,
coll006,,,,,,,,,,,,,,,,,,
coll007,,,,,,,,,,,,,,,,,,
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
